Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Suriname,Urban population (% of total population),66.14,66.089,66.056,66.04,66.041,66.06,66.095,66.149,66.219,66.307
Slovak Republic,Urban population (% of total population),54.14,54,53.889,53.806,53.751,53.726,53.729,53.76,53.82,53.909
Slovenia,Urban population (% of total population),53.332,53.557,53.781,54.02,54.273,54.541,54.822,55.118,55.427,55.751
Sweden,Urban population (% of total population),85.936,86.247,86.553,86.852,87.146,87.431,87.708,87.977,88.238,88.492
Eswatini,Urban population (% of total population),22.999,23.149,23.3,23.459,23.625,23.799,23.981,24.171,24.369,24.576
Sint Maarten (Dutch part),Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Seychelles,Urban population (% of total population),54.537,54.969,55.4,55.831,56.261,56.691,57.119,57.546,57.972,58.396
Syrian Arab Republic,Urban population (% of total population),52.529,51.5,52.168,52.835,53.5,54.162,54.821,55.475,56.124,56.769
Turks and Caicos Islands,Urban population (% of total population),91.483,91.851,92.195,92.517,92.817,93.098,93.36,93.605,93.834,94.047
Chad,Urban population (% of total population),22.248,22.372,22.515,22.677,22.858,23.059,23.279,23.52,23.781,24.063
East Asia & Pacific (IDA & IBRD countries),Urban population (% of total population),50.5648235001956,51.5790439600646,52.5880415202358,53.5925053714925,54.5887621075747,55.5614585448153,56.5071002716161,57.4239114272433,58.3126038346384,59.1757435746239
Europe & Central Asia (IDA & IBRD countries),Urban population (% of total population),65.5511441522544,65.6848478570476,65.8238164491017,65.9715013887856,66.1262857786557,66.2902436636356,66.4647349253881,66.6397929449162,66.8343989643731,67.0094200484665
Togo,Urban population (% of total population),39.061,39.579,40.1,40.628,41.162,41.702,42.248,42.8,43.358,43.921
Thailand,Urban population (% of total population),46.193,46.943,47.694,48.448,49.2,49.949,50.692,51.43,52.163,52.889
Tajikistan,Urban population (% of total population),26.589,26.655,26.742,26.851,26.982,27.134,27.309,27.506,27.726,27.968
Turkmenistan,Urban population (% of total population),49.541,49.921,50.317,50.728,51.153,51.593,52.048,52.516,52.998,53.494
Latin America & the Caribbean (IDA & IBRD countries),Urban population (% of total population),79.3201089434569,79.5886292750419,79.854596104089,80.1148117407705,80.3667891384065,80.607740795928,80.8468332516826,81.0901657049533,81.3334320955924,81.5750058081646
Timor-Leste,Urban population (% of total population),28.779,29.133,29.49,29.85,30.212,30.578,30.947,31.32,31.695,32.074
Middle East & North Africa (IDA & IBRD countries),Urban population (% of total population),59.2582111280228,59.6067237515689,59.9788349906392,60.2911027607291,60.5818202217676,60.8701933481656,61.1520183438177,61.4416174784451,61.7539270778853,62.0763518879722
Tonga,Urban population (% of total population),23.382,23.328,23.275,23.222,23.169,23.131,23.107,23.099,23.104,23.125
South Asia (IDA & IBRD),Urban population (% of total population),31.9857365713043,32.3733673194552,32.7696725975505,33.1754175262087,33.5915458577978,34.0190466389173,34.4563593747757,34.9031103407352,35.3623290791175,35.8381508036908
Sub-Saharan Africa (IDA & IBRD countries),Urban population (% of total population),37.6114270854122,38.1433506383947,38.6894512800178,39.2247236714653,39.7596127978553,40.2998165075392,40.8329525970643,41.3686297861541,41.9076431495083,42.4493969365686
Trinidad and Tobago,Urban population (% of total population),53.53,53.413,53.319,53.25,53.205,53.184,53.187,53.214,53.265,53.34
Tunisia,Urban population (% of total population),67.495,67.772,68.056,68.346,68.642,68.945,69.254,69.568,69.888,70.214
Turkiye,Urban population (% of total population),72.531,73.077,73.611,74.134,74.644,75.143,75.63,76.105,76.569,77.022
Tuvalu,Urban population (% of total population),57.814,58.786,59.73,60.645,61.53,62.387,63.215,64.014,64.785,65.527
Tanzania,Urban population (% of total population),30.196,30.904,31.617,32.333,33.053,33.776,34.5,35.227,35.954,36.682
Uganda,Urban population (% of total population),20.958,21.504,22.06,22.624,23.196,23.774,24.361,24.954,25.553,26.159
Ukraine,Urban population (% of total population),68.875,68.968,69.061,69.154,69.246,69.352,69.473,69.608,69.757,69.919
Upper middle income,Urban population (% of total population),60.5130678505171,61.386413268932,62.2543271537588,63.1156515243181,63.9664218470281,64.8034038660097,65.620088896529,66.4112023003726,67.1797095022172,67.9277384072416
Uruguay,Urban population (% of total population),94.843,94.945,95.045,95.144,95.24,95.334,95.426,95.515,95.603,95.688
United States,Urban population (% of total population),81.299,81.483,81.671,81.862,82.058,82.256,82.459,82.664,82.873,83.084
Uzbekistan,Urban population (% of total population),50.95,50.85,50.75,50.65,50.55,50.478,50.433,50.416,50.427,50.466
St. Vincent and the Grenadines,Urban population (% of total population),50.154,50.558,50.964,51.373,51.784,52.198,52.614,53.032,53.452,53.875
"Venezuela, RB",Urban population (% of total population),88.133,88.144,88.154,88.165,88.183,88.208,88.24,88.279,88.325,88.378
British Virgin Islands,Urban population (% of total population),45.856,46.216,46.583,46.957,47.337,47.723,48.116,48.515,48.92,49.331
Virgin Islands (U.S.),Urban population (% of total population),95.07,95.213,95.35,95.48,95.603,95.721,95.832,95.939,96.04,96.136
Viet Nam,Urban population (% of total population),32.429,33.115,33.809,34.51,35.213,35.919,36.628,37.34,38.052,38.766
Vanuatu,Urban population (% of total population),24.761,24.861,24.961,25.062,25.163,25.274,25.394,25.525,25.665,25.816
World,Urban population (% of total population),52.8149548907047,53.2699321112133,53.7347523090182,54.1955308962525,54.6466891474647,55.0885486295672,55.5262096579262,55.9646587391325,56.3761507680012,56.8142984366277
Samoa,Urban population (% of total population),19.385,19.149,18.914,18.681,18.452,18.243,18.056,17.889,17.742,17.616
Kosovo,Urban population (% of total population),,,,,,,,,,
"Yemen, Rep.",Urban population (% of total population),33.559,34.165,34.777,35.394,36.016,36.642,37.273,37.908,38.546,39.188
South Africa,Urban population (% of total population),63.793,64.312,64.828,65.341,65.85,66.355,66.856,67.354,67.847,68.335
Zambia,Urban population (% of total population),40.865,41.382,41.907,42.438,42.976,43.521,44.072,44.629,45.192,45.761
Zimbabwe,Urban population (% of total population),32.654,32.504,32.385,32.296,32.237,32.209,32.21,32.242,32.303,32.395
